,Name,description
0,Project_EDA_Workshop Public,Hands on EDA workshop on 16 August
1,PDV-Lab Public,Principle of Data Visualation
2,AML-Lab Public,Applied Machine Learning
3,ALA-Lab-work Public,Applied Linear Algebra
4,ASP_lab Public,Applied Satatics and Probability
5,adityab24840 Public,A Dev lost in this beautiful world of weird codes.
6,pycaret_mlend2end-main Public,Regression AutoML demo with PyCaret
7,Computational_thinking Public,Workshop on Numpy
8,FastTrackC2023MSIS Public,Updated
9,safe Public,Updated
